daymd;day;mtemp;mRH;mCO2;compartment;dd_start;dd_emergence;dd_harvest1;datetime;%DateTime [OLE Automation date];comp1.Air.T [oC];comp1.Air.RH [%];comp1.Air.ppm [ppm];comp1.TCan0.Value [oC];comp1.TCan1.Value [oC];comp1.TCan2.Value [oC];comp1.TCan3.Value [oC];common.Azimuth.Value [deg];common.Elevation.Value [deg];common.Iglob.Value [W/m2];common.Meteo.PAR [umol/s];comp1.PARsensor.Above [umol/s];comp1.Lmp1.PARup [umol/s];comp1.Crop.LAI [-];comp1.Scr1.Pos [0-1];comp1.ConLmp1.PowerFac [-];comp1.Setpoints.SpHeat [oC];comp1.Setpoints.SpVent [oC];comp1.Setpoints.SpHum [%/dX];comp1.Setpoints.SpCO2 [ppm];comp1.PARsensor.Transm [%];Data.Tair.Value [?];Data.RHair.Value [?];Data.CO2air.Value [?];comp1.Can0.PARup [umol/s];comp1.Can1.PARup [umol/s];comp1.Can2.PARup [umol/s];comp1.Can3.PARup [umol/s]
9-9-2021;252;22.56736111;65.42361111;;2.2;18.56736111;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10-9-2021;253;22.12013889;78.14236111;;2.2;36.6875;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11-9-2021;254;20.82439024;75.89198606;;2.2;53.51189024;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12-9-2021;255;20.14375;68.48611111;;2.2;69.65564024;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13-9-2021;256;19.85555556;68.17013889;;2.2;85.5111958;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14-9-2021;257;20.54236111;71.79513889;;2.2;102.0535569;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15-9-2021;258;21.04861111;72.78819444;;2.2;119.102168;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16-9-2021;259;19.88576389;67.88888889;;2.2;134.9879319;15.88576389;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17-9-2021;260;20.38055556;70.32291667;;2.2;151.3684875;32.26631945;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18-9-2021;261;19.88888889;70.15972222;;2.2;167.2573764;48.15520834;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19-9-2021;262;19.13784722;68.27777778;;2.2;182.3952236;63.29305556;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-9-2021;263;18.24444444;68.66666667;;2.2;196.639668;77.5375;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21-9-2021;264;18.38298611;66.45138889;;2.2;211.0226541;91.92048611;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-9-2021;265;18.61388889;68.05902778;;2.2;225.636543;106.534375;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23-9-2021;266;19.16111111;69.04513889;;2.2;240.7976541;121.6954861;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24-9-2021;267;19.40729167;73.85763889;511.9409722;3;256.2049458;137.1027778;0;2021-09-24;44463.4791666667;19.5791666666667;60.2166666666667;433.875;19.4125;19.4375;19.4583333333333;19.4791666666667;180.575;-0.23;90.7916666666667;175.412083333333;123.692307692308;70.8333333333333;0.17;0;0;19.3333333333333;21.0041666666667;60;529.166666666667;19.575;20.6083333333333;66.3416666666667;433.958333333333;67;64.5;60.3333333333333;58.125
25-9-2021;268;19.58819444;77.36111111;507.7916667;3;271.7931402;152.6909722;0;2021-09-25;44464.4791666667;19.6625;60.2375;432.708333333333;19.3625;19.3833333333333;19.4166666666667;19.4541666666667;180.5875;-0.57625;76.8333333333333;148.575;103.692307692308;59.4583333333333;0.17;0;0;19.3333333333333;21;60;530.875;19.275;20.5958333333333;69.1541666666667;432.75;56.1666666666667;54.0416666666667;50.5833333333333;48.75
26-9-2021;269;19.39965278;77.10416667;519.5381944;3;287.192793;168.090625;0;2021-09-26;44465.4791666667;19.6208333333333;60.5791666666667;443.916666666667;19.5708333333333;19.5916666666667;19.6083333333333;19.6416666666667;180.5875;-0.938333333333333;124.916666666667;241.320833333333;167.153846153846;95.875;0.17;0;0;19.3291666666667;21;60;530.916666666667;19.1208333333333;20.4541666666667;71.3125;443.958333333333;90.5416666666667;87.2083333333333;81.5833333333333;78.625
27-9-2021;270;20.66527778;72.00347222;453.2916667;1;303.8580708;184.7559028;0;2021-09-27;44466.4791666667;20.2916666666667;63.2416666666667;453.5;19.9125;19.9291666666667;19.9666666666667;19.9791666666667;180.645833333333;-1.29208333333333;63.4166666666667;122.62375;161.923076923077;56.0833333333333;0.17;0;0.173625;19.9166666666667;21.2916666666667;64.0291666666667;539.458333333333;30.65;20.7166666666667;72.3166666666667;453.5;87.7083333333333;84.5416666666667;79.25;76.3333333333333
28-9-2021;271;20.98333333;69.62152778;435.8263889;1;320.8414041;201.7392361;0;2021-09-28;44467.4791666667;21.1541666666667;66.8208333333333;436.083333333333;20.9875;20.9958333333333;21.0041666666667;21.0041666666667;180.683333333333;-1.63791666666667;173.5;334.889583333333;243.764705882353;128.25;0.17;0.0167916666666667;0.256958333333333;20.6708333333333;21.6708333333333;70;578.583333333333;22.75;20.9833333333333;69.5666666666667;436.166666666667;172.666666666667;166.208333333333;155.416666666667;149.708333333333
29-9-2021;272;20.75243056;69.00347222;443.5972222;1;337.5938347;218.4916667;0;2021-09-29;44468.4791666667;21.2833333333333;67.8125;443.458333333333;20.9833333333333;20.9791666666667;20.9916666666667;20.9875;180.604166666667;-1.9925;59.0416666666667;114.29625;241.882352941176;61.25;0.17;0.21425;0.565958333333333;20.6666666666667;21.6666666666667;70;561.333333333333;42.1291666666667;20.7625;69.225;443.5;171.333333333333;165.208333333333;154.666666666667;149.125
30-9-2021;273;21.05173611;68.68055556;496.5555556;1;354.6455708;235.5434028;0;2021-09-30;44469.4791666667;21.0791666666667;66.325;493.833333333333;20.7166666666667;20.7291666666667;20.7291666666667;20.7416666666667;180.629166666667;-2.34541666666667;87.5;169.039583333333;256.470588235294;83.875;0.17;0;0.510416666666667;20.6708333333333;21.6708333333333;70;577.541666666667;39.0541666666667;21.0625;68.5;493.875;181.666666666667;175.041666666667;163.958333333333;158.208333333333
1-10-2021;274;21.13715278;69.8125;447.4097222;1;371.7827236;252.6805556;0;2021-10-01;44470.4791666667;21.2875;67.4333333333333;450.25;21.0166666666667;21.0041666666667;21.0291666666667;21.025;180.629166666667;-2.69875;71.0416666666667;137.370000645833;238.411764705882;71;0.17;0;0.506958333333333;20.6666666666667;21.6666666666667;70;562.5;38.0041666666667;21.1333333333333;69.7375;450.333333333333;168.875;162.625;152.375;146.958333333333
2-10-2021;275;21.2375;72.08680556;429.2847222;1;389.0202236;269.9180556;0;2021-10-02;44471.4791666667;21.3625;67.7416666666667;428.958333333333;21.1916666666667;21.1833333333333;21.1791666666667;21.1791666666667;180.5125;-3.04708333333333;72;139.17675;229.294117647059;70.7916666666667;0.17;0;0.475708333333333;20.6666666666667;21.6666666666667;70;566.75;36.7208333333333;21.2208333333333;71.9583333333333;429.041666666667;162.416666666667;156.375;146.583333333333;141.416666666667
3-10-2021;276;20.85972222;71.21875;420.2152778;1;405.8799458;286.7777778;0;2021-10-03;44472.4791666667;21.3625;67.9291666666667;420.916666666667;21.0833333333333;21.0958333333333;21.0708333333333;21.0875;180.566666666667;-3.41291666666667;25.25;48.6677083333333;237.705882352941;36.5;0.17;0;0.666666666666667;20.6666666666667;21.6666666666667;70;556.458333333333;47.0875;20.9041666666667;71.5166666666667;420.958333333333;168.375;162.083333333333;151.958333333333;146.583333333333
4-10-2021;277;21.06944444;68.89930556;434.1111111;1;422.9493902;303.8472222;0;2021-10-04;44473.4791666667;21.1083333333333;67.275;433.541666666667;20.9083333333333;20.9083333333333;20.925;20.9291666666667;180.533333333333;-3.76125;152.5;294.813333333333;237.823529411765;115.083333333333;0.17;0;0.298625;20.6708333333333;21.6708333333333;70;572;23.4;21.0666666666667;68.9125;433.583333333333;168.458333333333;162.25;151.708333333333;146.25
5-10-2021;278;20.88368056;68.66319444;440.7395833;1;439.8330708;320.7309028;0;2021-10-05;44474.4791666667;21.0708333333333;66.7333333333333;440.375;20.6625;20.675;20.6833333333333;20.6833333333333;180.575;-4.09708333333333;84.5416666666667;163.39375;264.25;78.7916666666667;0.17;0;0.506958333333333;20.6666666666667;21.6666666666667;70;571.291666666667;37.6833333333333;20.8791666666667;68.7208333333333;440.375;176.166666666667;169.666666666667;158.958333333333;153.291666666667
6-10-2021;279;20.61597222;68.55555556;434.5173611;1;456.449043;337.346875;0;2021-10-06;44475.4791666667;21.1708333333333;68.025;435.166666666667;20.6583333333333;20.6708333333333;20.6833333333333;20.6875;180.504166666667;-4.45416666666667;60.125;116.103666666667;244;60.0833333333333;0.17;0;0.52775;20.6666666666667;21.6666666666667;70;560.833333333333;37.8875;20.6125;68.4791666666667;435.166666666667;162.666666666667;156.625;146.875;141.583333333333
7-10-2021;280;21.07638889;69.19444444;440.3576389;1;473.5254319;354.4232639;0;2021-10-07;44476.4791666667;21.1416666666667;67.0958333333333;440.208333333333;20.6666666666667;20.6833333333333;20.6833333333333;20.6833333333333;180.604166666667;-4.79416666666667;96.4166666666667;186.295;234.529411764706;86.5416666666667;0.17;0;0.420125;20.6666666666667;21.6666666666667;70;574.041666666667;32.5291666666667;21.075;69.1041666666667;440.25;166.125;159.958333333333;149.791666666667;144.458333333333
8-10-2021;281;20.94131944;68.78125;439.5416667;1;490.4667514;371.3645833;0;2021-10-08;44477.4791666667;21.0416666666667;65.85;439.416666666667;20.6458333333333;20.6625;20.6666666666667;20.675;180.608333333333;-5.14625;146.166666666667;282.416791666667;242.470588235294;116.916666666667;0.17;0;0.305541666666667;20.6666666666667;21.6666666666667;70;569.5;23.7791666666667;20.9458333333333;68.9625;439.5;171.75;165.25;154.708333333333;149.125
9-10-2021;282;20.85381944;67.78472222;436.25;1;507.3205708;388.2184028;0;2021-10-09;44478.4791666667;20.85;64.7708333333333;436.416666666667;20.3375;20.3625;20.3791666666667;20.3833333333333;180.616666666667;-5.49791666666667;144.875;279.979666666667;235.529411764706;121.208333333333;0.17;0;0.260416666666667;20.6666666666667;21.6666666666667;70;570.916666666667;21.475;20.8541666666667;67.7916666666667;436.416666666667;166.833333333333;160.541666666667;150.291666666667;144.75
10-10-2021;283;20.98020833;68.81944444;452.1215278;1;524.3007791;405.1986111;0;2021-10-10;44479.4791666667;20.9625;63.4333333333333;451.708333333333;20.275;20.2958333333333;20.3125;20.3166666666667;180.495833333333;-5.84125;121.666666666667;235.095916666667;245.117647058824;105.583333333333;0.17;0;0.368083333333333;20.6666666666667;21.6666666666667;70;562.25;28.1541666666667;20.9583333333333;68.5375;451.875;173.625;167.208333333333;156.5;150.833333333333
11-10-2021;284;20.98472222;69.67361111;445.34375;1;541.2855014;422.1833333;0;2021-10-11;44480.4791666667;21.2458333333333;67.8458333333333;446.041666666667;20.9291666666667;20.9291666666667;20.9458333333333;20.9541666666667;180.591666666667;-6.18041666666667;81.5416666666667;157.641875;230.352941176471;76.0833333333333;0.17;0;0.454875;20.6625;21.6625;70;567.125;32.7791666666667;21.0083333333333;69.8666666666667;446.125;163.166666666667;157.125;147.208333333333;141.958333333333
