rank;rankInverse;fabs;abs;absm2;assimilated
27;0;0.0;0.0;0.0;0.0
26;1;1.9561002528223723;0.5514735136314874;408.19583770709505;723.1844858823627
24;3;1.1731309865126613;1.2278504115877118;244.80707729000594;2684.815863373738
23;4;0.9953037241565537;1.624779807067133;207.69837173165013;4187.496288689288
22;5;0.7949626352079405;2.263954257316308;165.8915172452626;7305.273543444183
20;7;0.5557025350844553;2.781311221319783;115.9631064396953;9994.781416196462
19;8;0.5292116412266687;3.3017455499123747;110.43502954573925;11991.19136695975
18;9;0.505016720983258;4.053250111552094;105.38607271299749;14861.604091511295
16;11;0.42175839599150583;4.199405578646832;88.01186008403772;15896.163715576251
15;12;0.41007948417996615;4.372276897137635;85.57472365223151;16622.617148197245
14;13;0.38771066968121504;4.42874231053518;80.90683561343708;16976.480831051704
12;15;0.29913952005560795;3.595607469644616;62.42395133082449;14222.394887081166
11;16;0.28646048605547525;3.494412413940553;59.778111017919585;13882.11313203035
10;17;0.276561357641272;3.407489701147991;57.712376907525424;13582.2574153154
8;19;0.2118915756505132;2.6467131247278535;44.21719137398002;10776.597458165224
7;20;0.20582367221978573;2.5779990678179416;42.95095109797282;10517.18859947689
6;21;0.2050495752688103;2.573158912840441;42.78941379797298;10500.032410244641
5;22;0.14788421267566287;1.8956462416729971;30.86023836953005;7874.1022961258805
4;23;0.15026456337640295;1.9597681118011088;31.35696610468745;8134.568680186613
3;24;0.13266936241331007;1.7846763670995067;27.685228019488914;7447.221796654643
2;25;0.06401907117502269;0.8228272745673824;13.35939625272955;3502.6531651765213
1;26;0.0405227733729584;0.44026240152224794;8.456226821361993;1886.4230433510386
