time_step,day_of_year,day_length,thermTime,absorbed_light,tot_assimilates,tot_biomass,tot_leafBiomass,tot_stemBiomass,tot_yield,nb_phytomers,nb_leaves,nb_trusses,height,tot_leafArea
1,260,16.0,16.380556106567383,0.0,0.0,600.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2,261,16.0,32.26944541931152,0.0,0.0,600.0,0.0,0.0,0.0,0,0,0,0.0,0.0
3,262,16.0,47.40729331970215,0.0,0.0,600.0,0.0,0.0,0.0,0,0,0,0.0,0.0
4,263,16.0,61.651737213134766,0.0,0.0,600.0,0.0,0.0,0.0,0,0,0,0.0,0.0
5,264,16.0,76.03472328186035,0.0,0.0,600.0,0.0,0.0,0.0,0,0,0,0.0,0.0
6,265,16.0,90.64861297607422,0.0,0.0,600.0,0.0,0.0,0.0,0,0,0,0.0,0.0
7,266,16.0,105.80972480773926,0.0,0.0,600.0,0.0,0.0,0.0,0,0,0,0.0,0.0
8,267,16.0,121.38889122009277,0.0,0.0,600.0,0.0,0.0,0.0,0,0,0,0.0,0.0
9,268,16.0,137.0513916015625,0.0,0.0,600.0,0.0,0.0,0.0,0,0,0,0.0,0.0
10,269,16.0,152.6722240447998,0.0,0.0,600.0,0.0,0.0,0.0,0,0,0,0.0,0.0
11,270,16.0,168.9638900756836,0.0,0.0,600.0,0.0,0.0,0.0,0,0,0,0.0,0.0
12,271,16.0,186.11805725097656,0.0,0.0,600.0,0.0,0.0,0.0,0,0,0,0.0,0.0
13,272,16.0,203.4013900756836,0.0,0.0,600.0,0.0,0.0,0.0,0,0,0,0.0,0.0
14,273,16.0,220.4805564880371,0.0,0.0,600.0,0.0,0.0,0.0,0,0,0,0.0,0.0
15,274,16.0,237.76805686950684,0.0,0.0,599.9995023344261,0.0,0.0,0.0,0,0,0,0.0,0.0
16,275,16.0,255.13055610656738,0.0,0.0,599.9367153045912,0.0,0.5558328785216047,0.0,0,0,0,0.009999999776482582,0.0
17,276,16.0,272.49305534362793,0.0,2.3381482969568768,599.7895747192538,0.0,2.3765068764712582,0.0,0,0,0,0.009999999776482582,0.0
